동이름,아파트_매매_면적당_상승률,아파트_전월세_면적당_상승률,연립다세대_매매_면적당_상승률,연립다세대_전월세_면적당_상승률,오피스텔_매매_면적당_상승률,오피스텔_전월세_면적당_상승률,단독다가구_매매_면적당_상승률,단독다가구_전월세_면적당_상승률,아파트_분양권면적당_상승률,부동산_지표
고운동,44.8598337467917,58.2551288990581,0.0,0.0,0.0,0.0,93.9041573877754,10.250000000000005,4.270860516828353,43.52208787401074
금남면,98.91489439634074,73.42543079333986,31.443337439301402,-1.176415332851666,0.0,0.0,39.10807701718407,0.8559547853877608,0.0,71.3276968704079
대평동,22.069120602477682,10.930459868717664,0.0,0.0,0.0,0.0,0.0,0.0,13.561084096074662,15.795949673286426
도담동,39.980762467415175,46.10344471176862,-11.043354077409804,8.929223170468,-8.522984607319009,-8.522984607319009,63.659277205769115,-6.131955132460391,-1.244129580640221,35.23195367897641
보람동,35.33138515953666,53.562111666131806,2.1955112071501586,68.31124447119807,0.0,0.0,0.0,0.0,9.979328369709059,36.251203350436946
부강면,3.316231517031436,10.903396334780298,-0.7272256510709298,-4.545454545454546,0.0,0.0,115.32672002404546,-67.93359668612564,0.0,6.775374882258042
새롬동,33.33684094897246,67.72658342756299,0.0,0.0,-0.19293783920085497,-0.19293783920085497,0.0,5.4498460899042644,6.929501331067032,39.78696307439915
소담동,49.064280172429676,15.10872118750166,0.4374589056995397,2.4348495305637217,0.0,0.0,0.0,0.0,7.1609409599837255,28.533756559575284
소정면,-6.867445521015909,0.0,0.0,0.0,0.0,0.0,-20.516226946729947,173.77683403199867,0.0,-0.6935646216414328
아름동,70.93009219375404,43.45385296114523,0.0,0.0,0.0,0.0,2.2526490168978195,-26.432402626698096,0.0,46.854983405549305
연기면,31.47827615799841,38.67104430607107,1.0033688190626628,8.906268800385034,0.0,0.0,63.113612333044514,-18.005138340004468,0.0,28.86796112214648
연동면,40.58281162321025,73.88534010095228,0.0,0.0,0.0,0.0,33.3777891654632,8.303457415529149,0.0,44.99566675624603
연서면,48.42195715869336,50.37609685168271,-0.9016946231567147,0.0,0.0,0.0,82.45965451128981,0.07251518372027409,0.0,41.33089157015652
장군면,10.359233770506965,2.1818181818181803,-0.7407407407407421,0.0,0.0,0.0,151.76859008355584,-21.077526107567692,0.0,8.537291358462022
전동면,6.436305190642493,0.0,30.645161290322587,0.0,0.0,0.0,209.70043548983222,-32.301413887992894,0.0,7.209748409390505
전의면,-5.133858962032645,7.972106485316409,-0.2645502645502647,0.0,0.0,0.0,38.71885676471458,28.161699121039554,0.0,1.795659548797913
조치원읍,39.97914162406094,25.31425256226014,6.359242111485449,10.08043104568879,-4.218787443086515,-4.218787443086515,30.354112599295878,-70.97339562683452,1.3348989788736163,26.623795682345186
종촌동,74.61839380654196,44.118340992096904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.14309574888535
한솔동,67.59050690390538,41.097943672580705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.90979330032842
