행정동명,남자인구(0~9세),남자인구(10~19세),남자인구(20~29세),남자인구(30~39세),남자인구(40~49세),남자인구(50~59세),남자인구(60~69세),남자인구(70~79세),남자인구(80~89세),남자인구(90~99세),남자인구(100세_이상),여자인구(0~9세),여자인구(10~19세),여자인구(20~29세),여자인구(30~39세),여자인구(40~49세),여자인구(50~59세),여자인구(60~69세),여자인구(70~79세),여자인구(80~89세),여자인구(90~99세),여자인구(100세_이상)
조치원읍,1667,2128,3617,2970,3643,3508,2626,1351,563,62,1,1560,2050,2811,2436,3186,3110,2676,1725,930,162,7
연기면,40,53,220,230,208,318,275,118,50,0,0,41,54,156,104,109,210,221,138,102,23,1
연동면,43,65,190,159,201,300,372,189,97,12,0,48,63,112,116,123,245,307,224,212,45,0
부강면,169,208,486,448,506,643,527,265,145,15,0,166,170,255,274,314,457,511,353,251,32,1
금남면,151,199,515,527,618,892,914,551,224,24,1,171,206,369,354,387,715,836,606,437,91,2
장군면,112,153,625,569,594,700,601,286,134,11,0,100,144,371,272,294,556,514,302,244,38,1
연서면,152,230,567,453,546,729,726,412,213,18,0,161,200,312,268,355,524,657,517,338,54,2
전의면,101,221,330,317,413,577,539,286,181,14,0,94,172,230,197,273,454,453,377,300,60,1
전동면,34,66,164,164,214,412,478,260,105,6,0,43,56,119,92,125,287,374,259,208,41,2
소정면,55,89,165,112,207,248,219,115,63,5,0,43,96,110,71,133,190,190,150,130,18,0
한솔동,1355,1676,898,1161,2155,1315,578,224,59,10,0,1275,1662,838,1412,2327,1221,607,271,136,26,2
새롬동,4644,3485,2808,5695,5759,2958,1510,488,85,11,0,4499,3698,3387,6365,5773,3009,1684,524,253,68,0
도담동,2928,2636,1979,3430,4152,2336,1072,446,122,17,0,2731,2630,2438,3977,4249,2183,1190,550,322,69,0
아름동,1857,2229,904,1532,2863,1436,564,213,51,11,0,1709,2075,874,1907,3091,1225,613,237,107,27,0
종촌동,2366,2087,1207,2558,3171,1598,853,372,102,13,0,2322,2119,1411,2886,3138,1597,1049,432,225,30,0
고운동,3065,2449,1261,3083,3767,1633,1069,379,84,10,0,2975,2337,1352,3562,3714,1796,1240,429,145,37,0
소담동,2946,1638,1518,3674,3130,1802,927,276,44,7,1,2815,1755,1611,3967,3050,1845,901,308,143,42,3
보람동,1624,1267,910,1722,1972,1148,606,217,37,4,0,1572,1238,981,2001,1930,1128,672,220,109,28,0
대평동,874,538,656,1127,935,794,389,114,25,2,0,765,527,648,1150,948,840,418,114,80,24,0
